week_ending,safety,value,temples_culture,service,visa_friction,food_culinary,overall
2026-06-30,4.8,7.9,8.6,6.7,6.8,,6.8
2026-07-07,5.5,7.6,8.3,6.6,6.7,,6.9
2026-07-14,5.8,7.8,8.7,6.5,6.5,,6.9
2026-07-21,5.0,7.2,8.0,6.2,5.8,,6.2
2026-07-26,2.5,7.5,6.5,6.8,6.5,,5.0
2026-08-02,3.5,7.5,7.0,7.0,6.8,7.8,5.8
2026-08-09,3.6,7.5,7.2,7.1,7.0,7.8,6.0
2026-08-16,2.8,7.4,6.4,7.7,7.2,8.2,6.8
2026-08-23,3.1,7.7,6.1,7.5,6.3,7.3,6.5
2026-08-30,3.2,7.7,6.1,7.4,6.6,7.4,6.5
2026-09-06,3.8,7.5,6.3,7.4,6.8,7.3,6.6
2026-09-13,3.9,7.8,6.5,7.7,6.9,7.5,6.7
